POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1,2.05E+00,1.96E+00,0.00E+00,-5.84E-02,2.28E+00,4.06E-05
2,1.17E+00,1.16E+00,0.00E+00,7.06E-02,1.26E+00,6.93E-07
3,8.77E-01,5.82E-01,0.00E+00,-2.90E-01,9.39E-01,1.72E-05
4,1.74E+00,-4.22E-01,0.00E+00,-1.90E+00,1.90E+00,4.85E-06
5,1.26E+00,1.23E+00,0.00E+00,6.02E-01,1.42E+00,1.19E-06
6,1.75E+00,1.03E-01,0.00E+00,-1.58E+00,1.83E+00,1.51E-05
7,7.32E-01,7.45E-01,0.00E+00,3.55E-02,7.56E-01,-2.56E-06
8,5.91E-01,6.55E-01,0.00E+00,1.62E-01,6.55E-01,1.78E-05
9,6.83E-01,-1.66E-01,0.00E+00,-7.46E-01,7.46E-01,2.31E-07
10,8.76E-01,-4.88E-01,0.00E+00,-1.01E+00,1.01E+00,-1.24E-05
11,7.77E-01,-4.48E-01,0.00E+00,-8.32E-01,8.91E-01,-1.12E-05
12,2.72E-01,1.37E-01,0.00E+00,-1.74E-01,3.11E-01,6.15E-06
13,2.76E-01,1.28E-01,0.00E+00,-1.64E-01,3.11E-01,5.50E-07
14,5.77E-01,5.12E-01,0.00E+00,-6.57E-02,5.91E-01,-6.07E-06
15,3.53E-01,2.12E-01,0.00E+00,-1.84E-01,3.96E-01,4.77E-06
16,2.33E-01,6.76E-03,0.00E+00,-2.00E-01,2.58E-01,1.32E-06
17,3.48E-01,2.00E-01,0.00E+00,-2.00E-01,4.01E-01,4.11E-06
18,2.40E-01,1.90E-01,0.00E+00,-4.22E-02,2.62E-01,3.32E-06
19,1.39E+00,1.19E+00,0.00E+00,-2.12E-01,1.51E+00,1.12E-05
20,1.23E+00,2.75E-01,0.00E+00,-9.31E-01,1.35E+00,7.88E-06
21,1.24E+00,8.84E-01,0.00E+00,-3.81E-01,1.40E+00,1.12E-05
22,3.26E-01,1.83E-01,0.00E+00,-1.75E-01,3.73E-01,3.73E-06
23,4.64E-01,1.52E-01,0.00E+00,-3.60E-01,5.13E-01,5.12E-06
24,1.37E+00,2.63E-01,0.00E+00,-1.11E+00,1.53E+00,9.70E-06
25,2.81E-01,9.27E-02,0.00E+00,-2.12E-01,3.19E-01,3.96E-06
26,1.90E-01,1.27E-01,0.00E+00,-6.40E-02,2.07E-01,2.38E-06
27,2.67E+00,1.22E+00,0.00E+00,-1.26E+00,2.88E+00,3.12E-05
28,5.26E+00,5.27E+00,0.00E+00,7.59E-01,5.86E+00,7.25E-05
29,4.58E+00,5.03E+00,0.00E+00,1.54E+00,5.03E+00,6.31E-05
30,3.09E+00,2.72E+00,0.00E+00,-9.76E-02,3.31E+00,4.44E-05
31,3.18E+00,6.83E-01,0.00E+00,-2.43E+00,3.54E+00,4.39E-05
32,5.00E+00,1.21E+00,0.00E+00,-4.08E+00,5.44E+00,2.22E-05
33,5.64E+00,1.95E+00,0.00E+00,-4.30E+00,6.25E+00,4.68E-05
34,2.72E+00,1.80E+00,0.00E+00,-9.27E-01,3.07E+00,4.97E-05
35,4.13E+00,4.59E+00,0.00E+00,1.36E+00,4.59E+00,1.07E-04
36,3.24E+00,1.23E+00,0.00E+00,-1.99E+00,3.61E+00,-3.17E-06
37,3.42E+00,-7.39E-02,0.00E+00,-3.01E+00,3.90E+00,3.13E-06
38,2.88E+00,2.23E+00,0.00E+00,-7.07E-01,3.30E+00,8.50E-05
39,7.26E-02,-2.54E-02,0.00E+00,-7.92E-02,8.22E-02,1.02E-06
40,1.68E-01,8.85E-02,0.00E+00,-1.04E-01,1.92E-01,1.71E-06
41,2.70E-01,-6.67E-02,0.00E+00,-2.76E-01,3.03E-01,-2.13E-07
42,1.82E-01,1.64E-01,0.00E+00,-1.94E-02,1.98E-01,2.34E-06
43,2.76E-01,2.78E-01,0.00E+00,4.15E-02,3.05E-01,3.60E-06
44,1.55E-01,1.11E-01,0.00E+00,-6.47E-02,1.75E-01,2.00E-06
45,6.50E-01,4.03E-01,0.00E+00,-3.02E-01,7.26E-01,9.16E-06
46,1.69E-01,1.35E-01,0.00E+00,-4.83E-02,1.84E-01,2.03E-06
47,2.02E-01,6.09E-02,0.00E+00,-1.63E-01,2.24E-01,1.15E-06
48,1.03E-01,9.43E-02,0.00E+00,1.94E-03,1.14E-01,1.39E-06
49,2.02E-01,4.71E-02,0.00E+00,-1.54E-01,2.22E-01,-5.79E-07
50,1.93E-01,1.45E-01,0.00E+00,-5.92E-02,2.04E-01,1.45E-06
51,2.41E-01,6.27E-02,0.00E+00,-9.11E-02,2.66E-01,1.63E-06
52,1.70E-01,9.70E-02,0.00E+00,-9.49E-02,1.92E-01,2.36E-06
53,2.23E-01,9.21E-02,0.00E+00,-1.29E-01,2.40E-01,7.82E-07
54,4.07E+00,3.32E+00,0.00E+00,-1.08E+00,4.39E+00,5.84E-05
55,4.10E+00,1.14E+00,0.00E+00,-3.31E+00,4.45E+00,4.09E-05
56,3.60E+00,3.08E+00,0.00E+00,-7.92E-01,3.87E+00,5.87E-05
57,3.65E+00,8.59E-01,0.00E+00,-3.09E+00,3.95E+00,2.51E-05
58,2.74E+00,2.46E+00,0.00E+00,-4.05E-01,2.92E+00,3.47E-05
59,3.37E+00,1.03E+00,0.00E+00,-2.70E+00,3.73E+00,2.51E-05
60,3.52E+00,3.50E+00,0.00E+00,9.00E-03,3.82E+00,5.81E-05
61,3.84E+00,8.45E-01,0.00E+00,-2.64E+00,4.24E+00,3.50E-05
62,7.23E-01,4.63E-01,0.00E+00,-3.57E-01,8.20E-01,1.02E-05
63,1.49E+00,4.41E-01,0.00E+00,-1.22E+00,1.66E+00,1.36E-05
64,6.09E-01,3.92E-01,0.00E+00,-3.00E-01,6.92E-01,7.21E-06
65,9.15E-01,5.16E-01,0.00E+00,-5.01E-01,1.02E+00,9.36E-06
66,8.18E-01,5.77E-01,0.00E+00,-3.34E-01,9.11E-01,8.31E-06
67,1.54E+00,1.48E+00,0.00E+00,-6.23E-02,1.66E+00,2.31E-05
68,8.51E-01,5.97E-01,0.00E+00,-3.58E-01,9.55E-01,9.05E-06
69,1.68E+00,1.73E+00,0.00E+00,1.02E-01,1.76E+00,2.61E-05
70,1.40E+00,7.49E-01,0.00E+00,-7.70E-01,1.52E+00,1.44E-05
71,7.14E-01,3.57E-01,0.00E+00,-4.48E-01,8.05E-01,8.07E-06
72,9.64E-01,3.66E-01,0.00E+00,-6.99E-01,1.09E+00,1.01E-05
73,1.60E+00,2.45E-01,0.00E+00,-1.45E+00,1.73E+00,1.14E-05
74,1.17E+00,6.71E-02,0.00E+00,-1.09E+00,1.26E+00,6.97E-06
75,4.15E-01,2.29E-01,0.00E+00,-2.12E-01,4.43E-01,8.91E-06
76,3.19E-01,3.15E-01,0.00E+00,3.14E-03,3.41E-01,1.01E-05
77,2.70E-01,1.12E-01,0.00E+00,-1.27E-01,3.09E-01,7.15E-06
78,3.69E-01,-2.55E-02,0.00E+00,-3.75E-01,3.96E-01,3.60E-06
79,4.22E-01,1.73E-01,0.00E+00,-2.74E-01,4.60E-01,6.90E-06
80,5.08E-01,2.88E-01,0.00E+00,-2.31E-01,5.54E-01,9.25E-06
