POINT,X,Y,Z
1,31.500000,-13.500000,0.000000
2,0.000000,-13.500000,31.500000
3,-31.500000,-13.500000,0.000000
4,31.500000,13.500000,0.000000
5,0.000000,13.500000,31.500000
6,-31.500000,13.500000,0.000000
7,36.852900,-7.000000,0.000000
8,38.500000,-5.000000,0.000000
9,38.500000,5.000000,0.000000
10,36.852900,7.000000,0.000000
11,-36.852900,7.000000,0.000000
12,-38.500000,5.000000,0.000000
13,-38.500000,-5.000000,0.000000
14,-36.852900,-7.000000,0.000000
15,38.500000,5.000000,22.000000
16,-38.500000,5.000000,22.000000
17,38.500000,-5.000000,22.000000
18,-38.500000,-5.000000,22.000000
19,-29.565800,-7.000000,22.000000
20,29.565800,7.000000,22.000000
21,29.565800,-7.000000,22.000000
22,36.852900,-7.000000,22.000000
23,36.852900,7.000000,22.000000
24,-29.565800,7.000000,22.000000
25,-36.852900,7.000000,22.000000
26,-36.852900,-7.000000,22.000000
27,25.000000,-7.000000,32.945100
28,11.500000,-7.000000,58.000000
29,-11.500000,-7.000000,58.000000
30,-25.000000,-7.000000,32.945100
31,-25.000000,7.000000,32.945100
32,-11.500000,7.000000,58.000000
33,11.500000,7.000000,58.000000
34,25.000000,7.000000,32.945100
35,-25.000000,-7.000000,27.076500
36,25.000000,-7.000000,27.076500
37,-25.000000,7.000000,27.076500
38,25.000000,7.000000,27.076500
39,0.000000,7.000000,154.500000
40,20.500000,7.000000,134.000000
41,0.000000,13.250000,152.000000
42,18.000000,13.250000,134.000000
43,0.000000,13.250000,116.000000
44,-20.500000,7.000000,134.000000
45,-10.097600,13.250000,119.099000
46,-18.000000,13.250000,134.000000
47,-20.500000,-7.000000,134.000000
48,0.000000,-7.000000,154.500000
49,0.000000,-13.250000,116.000000
50,-18.000000,-13.250000,134.000000
51,0.000000,-13.250000,152.000000
52,20.500000,-7.000000,134.000000
53,18.000000,-13.250000,134.000000
54,25.000000,-9.668390,24.000000
55,25.000000,9.668390,24.000000
56,27.000000,-9.458680,22.000000
57,27.000000,9.458680,22.000000
58,-27.000000,-9.458680,22.000000
59,-27.000000,9.458680,22.000000
60,-25.000000,-9.668390,24.000000
61,-25.000000,9.668390,24.000000
62,17.450400,7.000000,123.242000
63,11.500000,7.000000,102.251000
64,17.450400,0.000000,123.242000
65,11.500000,0.000000,102.251000
66,17.450400,-7.000000,123.242000
67,11.500000,-7.000000,102.251000
68,-17.450400,-7.000000,123.242000
69,-11.500000,-7.000000,102.251000
70,-11.500000,0.000000,102.251000
71,-17.450400,0.000000,123.242000
72,-17.450400,7.000000,123.242000
73,-11.500000,7.000000,102.251000
74,-11.500000,7.000000,117.029000
75,28.000000,0.000000,0.000000
76,31.500000,-3.500000,0.000000
77,35.000000,0.000000,0.000000
78,31.500000,3.500000,0.000000
79,28.000000,0.000000,22.000000
80,31.500000,-3.500000,22.000000
81,35.000000,0.000000,22.000000
82,31.500000,3.500000,22.000000
83,-33.000000,-3.500000,0.000000
84,-29.500000,0.000000,0.000000
85,-33.000000,3.500000,0.000000
86,-36.500000,0.000000,0.000000
87,-33.000000,-3.500000,22.000000
88,-29.500000,0.000000,22.000000
89,-33.000000,3.500000,22.000000
90,-36.500000,0.000000,22.000000
91,-8.386140,-7.000000,35.886100
92,-12.498200,-7.000000,37.383500
93,-12.777800,-7.000000,41.750800
94,-8.500000,-7.000000,58.000000
95,-8.500000,-7.000000,109.917000
96,-7.055510,-7.000000,112.994000
97,-3.765310,-7.000000,113.849000
98,3.765310,-7.000000,113.849000
99,7.055510,-7.000000,112.994000
100,8.500000,-7.000000,109.917000
101,8.500000,-7.000000,58.000000
102,12.777800,-7.000000,41.750800
103,12.498200,-7.000000,37.383500
104,8.386140,-7.000000,35.886100
105,-8.386140,-2.700000,35.886100
106,-12.498200,-2.700000,37.383500
107,-12.777800,-2.700000,41.750800
108,-8.500000,-2.700000,58.000000
109,-8.500000,-2.700000,109.917000
110,-7.055510,-2.700000,112.994000
111,-3.765310,-2.700000,113.849000
112,3.765310,-2.700000,113.849000
113,7.055510,-2.700000,112.994000
114,8.500000,-2.700000,109.917000
115,8.500000,-2.700000,58.000000
116,12.777800,-2.700000,41.750800
117,12.498200,-2.700000,37.383500
118,8.386140,-2.700000,35.886100
119,0.000000,-7.000000,113.500000
120,0.000000,-7.000000,36.852900
121,-8.386140,2.700000,35.886100
122,-12.498200,2.700000,37.383500
123,-12.777800,2.700000,41.750800
124,-8.500000,2.700000,58.000000
125,-8.500000,2.700000,109.917000
126,-7.055510,2.700000,112.994000
127,-3.765310,2.700000,113.849000
128,3.765310,2.700000,113.849000
129,7.055510,2.700000,112.994000
130,8.500000,2.700000,109.917000
131,8.500000,2.700000,58.000000
132,12.777800,2.700000,41.750800
133,12.498200,2.700000,37.383500
134,8.386140,2.700000,35.886100
135,-8.386140,7.000000,35.886100
136,-12.498200,7.000000,37.383500
137,-12.777800,7.000000,41.750800
138,-8.500000,7.000000,58.000000
139,-8.500000,7.000000,109.917000
140,-7.055510,7.000000,112.994000
141,-3.765310,7.000000,113.849000
142,3.765310,7.000000,113.849000
143,7.055510,7.000000,112.994000
144,8.500000,7.000000,109.917000
145,8.500000,7.000000,58.000000
146,12.777800,7.000000,41.750800
147,12.498200,7.000000,37.383500
148,8.386140,7.000000,35.886100
149,0.000000,7.000000,113.500000
150,0.000000,7.000000,36.852900
151,26.000000,-12.000000,0.000000
152,0.000000,-12.000000,26.000000
153,-26.000000,-12.000000,0.000000
154,27.500000,-13.500000,0.000000
155,0.000000,-13.500000,27.500000
156,-27.500000,-13.500000,0.000000
157,27.500000,13.500000,0.000000
158,0.000000,13.500000,27.500000
159,-27.500000,13.500000,0.000000
160,26.000000,12.000000,0.000000
161,0.000000,12.000000,26.000000
162,-26.000000,12.000000,0.000000
163,13.500000,-12.189300,134.000000
164,0.000000,-12.189300,120.500000
165,-13.500000,-12.189300,134.000000
166,14.560700,-13.250000,134.000000
167,0.000000,-13.250000,119.439000
168,-14.560700,-13.250000,134.000000
169,0.000000,-12.189300,147.500000
170,0.000000,-13.250000,148.561000
171,13.500000,12.189300,134.000000
172,0.000000,12.189300,120.500000
173,-13.500000,12.189300,134.000000
174,14.560700,13.250000,134.000000
175,0.000000,13.250000,119.439000
176,-14.560700,13.250000,134.000000
177,0.000000,12.189300,147.500000
